ranking,categoria,servidor,ip_servidor,tempo_medio_ms,tempo_min_ms,tempo_max_ms,perda_pacotes_pct
1,Com Filtragem de Segurança,Quad9,9.9.9.9,3.58,3.00,4.42,0.0
2,Sem Filtragem,Quad9 (sem filtro),9.9.9.10,4.05,3.30,7.44,0.0
3,Sem Filtragem,Cloudflare (secundário),1.0.0.1,4.29,3.90,5.13,0.0
4,Sem Filtragem,Cloudflare,1.1.1.1,4.34,3.32,6.81,0.0
5,Com Filtragem Familiar,Cloudflare Family,1.1.1.3,7.67,4.87,17.71,0.0
6,Adicionais Escolhidos,Control D,76.76.2.0,20.51,18.46,24.58,0.0
7,Com Filtragem de Segurança,OpenDNS,208.67.222.222,27.67,26.76,28.93,0.0
8,Com Filtragem Familiar,OpenDNS FamilyShield,208.67.222.123,30.19,27.98,34.45,0.0
9,Sem Filtragem,Google Public DNS (secundário),8.8.4.4,34.86,33.72,36.74,0.0
10,Sem Filtragem,Google Public DNS,8.8.8.8,35.67,29.74,38.64,0.0
11,Sem Filtragem,Verisign,64.6.64.6,158.46,137.60,204.64,0.0
12,Adicionais Escolhidos,Mullvad DNS,194.242.2.2,186.95,144.13,205.41,10.0
13,Com Filtragem de Segurança,CleanBrowsing Security,185.228.168.9,191.24,128.45,206.86,0.0
14,Adicionais Escolhidos,Comodo Secure,8.26.56.26,194.29,132.14,206.87,0.0
15,Com Filtragem Familiar,CleanBrowsing Family,185.228.168.168,197.33,129.04,234.66,0.0
16,Com Filtragem de Segurança,AdGuard DNS,94.140.14.14,204.56,203.29,205.56,0.0
17,Adicionais Escolhidos,Freenom World,80.80.80.80,204.64,174.39,234.47,0.0
18,Com Filtragem Familiar,AdGuard Family,94.140.14.15,235.37,202.99,513.31,0.0
19,Adicionais Escolhidos,DNS Provedor Local (Claro/Vivo),200.215.1.1,N/A,N/A,N/A,100.0
